idcategory,categdesc
0407,GROUPS OF FIGURATIVE ELEMENTS CLASSIFIED IN DIFFERENT DIVISIONS OF CATEGORY 4
05,PLANTS
0501,TREES; BUSHES
050101,Trees or bushes of triangular shape; conical shape (pointed at top); or candle f
050102,Trees or bushes of oblong shape (poplars)
050103,Trees or bushes of some other shape
050104,Trees or bushes without leaves
050105,One tree or one bush
050106,Two trees or two bushes
050107,Three trees or three bushes
050108,More than three trees or three bushes; thickets; copses
050109,Groups of trees or of bushes of different shapes
050110,Conifers
050111,Deciduous trees
050112,Palm trees; banana trees
050114,Climbing bushes
050115,Trees and bushes in blossom
050116,Trees or bushes in stylized form
050119,Vine stocks; stumps
050120,Trunks of trees without branches
050121,Large branches; branches without leaves or without needles; devining rod
0503,LEAVES; NEEDLES; BRANCHES WITH LEAVES OR NEEDLES
050301,Tobacco leaves
050302,Oak leaves
050303,Holly leaves
050304,Vine leaves (except 5.3.19); plane leaves; maple leaves
050305,Leaves of chestnut trees
050306,Trefoils; trefoils represented as symbols or appearing on playing cards.
050307,Ferns; palms
050308,Wisteria leaves or acacia leaves
050309,Ginkgo leaves
050311,Other leaves
050313,Stylized leaves
050314,One leaf
050315,Two to four leaves
050316,More than four leaves; scattered leaves; bunches of leaves
050317,Olive branches; with or without fruit
050318,Mistletoe sprigs
050319,Vine shoots
050320,Other branches with leaves; with or without fruit
050322,Needles; branches with needles
0505,FLOWERS; BLOSSOMS
050501,Roses
050502,Lilies
050503,Tulips; magnolias
050504,Marguerites; sunflowers; daisies
050505,Carnations
050506,Pansies
050507,Lilac or other flowers growing in vertical clusters; lavendel
050508,Wisteria or other flowers growing in drooping clusters
050510,Edelweiss
050511,Gentians
050512,Thistles
050513,Poppies
050514,Chrysanthemums
050515,Orchids
050516,Lotus flowers
050518,Umbellate flowers
050519,Other flowers; blossoms; flowers or blossoms of trees (cherry trees; peach trees
050520,Stylized flowers
050521,One flower
050522,Several flowers (except 5.5.7';' 5.5.8';' 5.5.18 and 5.5.23)
050523,Groups of flowers of different kinds; bunches; sheaves or baskets of flowers; fl
0507,GRAIN; SEEDS; FRUITS
050701,Grain; seeds; coffee beans
050702,Ears of cereals (wheat; rye; barley; etc.); ears of maize; ears of sorghum & pan
050703,Panicles of cereals (oats; rice; etc.)
050704,Category deleted in new version
050705,Sheaves of cereals
050706,Shell or husk fruits (almonds; peanuts; cocoa beans; walnuts; hazelnuts; etc.);
050707,Cupulate fruits (sweet chestnuts; edible chestnuts; acorns; etc.)
050708,Strawberries; raspberries; blackberries
050709,Currents; kiwis and other berries
050710,Grapes (single specimens or bunches)
050711,Oranges; mandarines or tangerines; grapefruit
050712,Lemons; limes
050713,Apples
050714,Stone fruits (apricots; peaches; prunes; plums; dates; mangos; litchis; loquats;
050715,Pears
050716,Cherries
050717,Pineapples
050718,Bananas
050719,Olives
050720,Melons; water melons
050721,Other fruits (except 5.7.9); pomegranates
050722,Open fruits; slices or quarters of fruit; peels
050723,One fruit
050724,Groups of fruits of different kinds
050725,Bowls or baskets of fruit
050726,Fruits in jars
050727,Coffee beans
0509,VEGETABLES
050901,Carrots
050903,Potatoes; other tubers
050906,Onions; bulbs; garlic
050908,Leeks
050910,Asparagus
050912,Cabbages; lettuce; chicory
050914,Gourds
